Code,CourseCode,CourseName,Section,Week,StartTime,EndTime,Room,Instructor
1012a,ACCT 1010,"Accounting, Business and Society",L1,Mo,1630,1750,"G009A, CYT Bldg","CHAN, Dennis Suk Sun"
1012b,ACCT 1010,"Accounting, Business and Society",L1,Fr,1200,1320,"G009A, CYT Bldg","CHAN, Dennis Suk Sun"
1013a,ACCT 1010,"Accounting, Business and Society",L2,Mo,1330,1450,"G009A, CYT Bldg","CHAN, Dennis Suk Sun"
1013b,ACCT 1010,"Accounting, Business and Society",L2,Fr,0900,1020,"G009A, CYT Bldg","CHAN, Dennis Suk Sun"
1014a,ACCT 1010,"Accounting, Business and Society",L3,Tu,1200,1320,"Rm 1009, LSK Bldg","CHAN, Dennis Suk Sun"
1014b,ACCT 1010,"Accounting, Business and Society",L3,Th,1200,1320,"Rm 1009, LSK Bldg","CHAN, Dennis Suk Sun"
1015a,ACCT 1010,"Accounting, Business and Society",L4,Mo,1500,1620,"G009A, CYT Bldg","CHAN, Dennis Suk Sun"
1015b,ACCT 1010,"Accounting, Business and Society",L4,Fr,1030,1150,"G009A, CYT Bldg","CHAN, Dennis Suk Sun"
1016a,ACCT 2010,Principles of Accounting I,L01,We,1330,1450,"Rm 1010, LSK Bldg","SHIEH, Tony"
1016b,ACCT 2010,Principles of Accounting I,L01,Fr,1330,1450,"Rm 1010, LSK Bldg","SHIEH, Tony"
1017a,ACCT 2010,Principles of Accounting I,L02,Mo,1630,1750,"Rm 1010, LSK Bldg","SHIEH, Tony"
1017b,ACCT 2010,Principles of Accounting I,L02,Fr,1200,1320,"Rm 1010, LSK Bldg","SHIEH, Tony"
1018a,ACCT 2010,Principles of Accounting I,L03,Mo,1500,1620,"Rm 1010, LSK Bldg","CHEN, Peter Fusheng"
1018b,ACCT 2010,Principles of Accounting I,L03,Fr,1030,1150,"Rm 1010, LSK Bldg","CHEN, Peter Fusheng"
1019a,ACCT 2010,Principles of Accounting I,L04,We,1330,1450,"Rm 1011, LSK Bldg","CHEN, Peter Fusheng"
1019b,ACCT 2010,Principles of Accounting I,L04,Fr,1330,1450,"Rm 1011, LSK Bldg","CHEN, Peter Fusheng"
1020a,ACCT 2010,Principles of Accounting I,L05,Mo,1200,1320,"Rm 1011, LSK Bldg","CHEN, Peter Fusheng"
1020b,ACCT 2010,Principles of Accounting I,L05,We,1200,1320,"Rm 1011, LSK Bldg","CHEN, Peter Fusheng"
1021a,ACCT 2010,Principles of Accounting I,L06,Tu,1030,1150,"Rm 2302, Lift 17-18","CHEN, Zhihong"
