_id,nid_start,nid_end,length,floor
1,3047,3050,1,3
2,3050,3047,1,3
3,3050,3051,1,3
4,3051,3050,1,3
5,3051,3484,3,3
6,3484,3051,3,3
7,3047,3042,4,3
8,3042,3047,4,3
9,3042,3041,8,3
10,3041,3042,8,3
11,3040,3041,2,3
12,3041,3040,2,3
13,3039,3040,4,3
14,3040,3039,4,3
15,3038,3039,2,3
16,3039,3038,2,3
17,3485,3038,3,3
18,3038,3485,3,3
19,3485,3037,1,3
20,3037,3485,1,3
21,3033,3485,1,3
22,3485,3033,1,3
23,3033,3034,5,3
24,3034,3033,5,3
25,3034,3036,3,3
26,3036,3034,3,3
27,3035,3036,0,3
28,3036,3035,0,3
29,3485,3032,3,3
30,3032,3485,3,3
31,3031,3032,2,3
32,3032,3031,2,3
33,3030,3031,6,3
34,3031,3030,6,3
35,3030,3025,3,3
36,3025,3030,3,3
37,3025,3026,1,3
38,3026,3025,1,3
39,3026,3029,0,3
40,3029,3026,0,3
41,3027,3029,5,3
42,3029,3027,5,3
43,3027,3028,2,3
44,3028,3027,2,3
45,3024,3025,6,3
46,3025,3024,6,3
47,3024,3023,0,3
48,3023,3024,0,3
49,3022,3024,2,3
50,3024,3022,2,3
51,3486,3022,4,3
52,3022,3486,4,3
53,3486,3021,5,3
54,3021,3486,5,3
55,3020,3021,2,3
56,3021,3020,2,3
57,3019,3020,1,3
58,3020,3019,1,3
59,3018,3486,2,3
60,3486,3018,2,3
61,3017,3018,2,3
62,3018,3017,2,3
63,3014,3017,6,3
64,3017,3014,6,3
65,3014,3015,2,3
66,3015,3014,2,3
67,3015,3016,2,3
68,3016,3015,2,3
69,3013,3015,3,3
70,3015,3013,3,3
71,3013,3487,4,3
72,3487,3013,4,3
73,3010,3487,12,3
74,3487,3010,12,3
75,3009,3488,1,3
76,3488,3009,1,3
77,3011,3488,8,3
78,3488,3011,8,3
79,3009,3489,7,3
80,3489,3009,7,3
81,3489,3500,9,3
82,3500,3489,9,3
83,3008,3500,2,3
84,3500,3008,2,3
85,3007,3008,15,3
86,3008,3007,15,3
87,3006,3007,19,3
