_id,nid_start,nid_end,length,floor
1,1201,1210,19,1
2,1210,1201,19,1
3,1210,1189,2,1
4,1189,1210,2,1
5,1210,1200,7,1
6,1200,1210,7,1
7,1199,1200,3,1
8,1200,1199,3,1
9,1189,1197,10,1
10,1197,1189,10,1
11,1196,1197,5,1
12,1197,1196,5,1
13,1196,1211,14,1
14,1211,1196,14,1
15,1211,1188,7,1
16,1188,1211,7,1
17,1211,1187,8,1
18,1187,1211,8,1
19,1187,1192,4,1
20,1192,1187,4,1
21,1192,1186,2,1
22,1186,1192,2,1
23,1186,1193,1,1
24,1193,1186,1,1
25,1193,1194,7,1
26,1194,1193,7,1
27,1194,1195,9,1
28,1195,1194,9,1
29,1190,1212,16,1
30,1212,1190,16,1
31,1190,1191,1,1
32,1191,1190,1,1
33,1165,1162,4,1
34,1162,1165,4,1
35,1162,1164,1,1
36,1164,1162,1,1
37,1164,1163,2,1
38,1163,1164,2,1
39,1214,1163,10,1
40,1163,1214,10,1
41,1160,1214,10,1
42,1214,1160,10,1
43,1160,1159,6,1
44,1159,1160,6,1
45,1158,1159,4,1
46,1159,1158,4,1
47,1157,1158,6,1
48,1158,1157,6,1
49,1157,1215,4,1
50,1215,1157,4,1
51,1215,1154,20,1
52,1154,1215,20,1
53,1215,1216,20,1
54,1216,1215,20,1
55,1216,1147,32,1
56,1147,1216,32,1
57,1216,1217,18,1
58,1217,1216,18,1
59,1217,1144,9,1
60,1144,1217,9,1
61,1143,1144,10,1
62,1144,1143,10,1
63,1218,1147,15,1
64,1147,1218,15,1
65,1218,1150,1,1
66,1150,1218,1,1
67,1218,1151,23,1
68,1151,1218,23,1
69,1219,1151,9,1
70,1151,1219,9,1
71,1219,1152,4,1
72,1152,1219,4,1
73,1152,1153,2,1
74,1153,1152,2,1
75,1142,1143,15,1
76,1143,1142,15,1
77,1142,1132,12,1
78,1132,1142,12,1
79,1141,1132,20,1
80,1132,1141,20,1
81,1140,1141,18,1
82,1141,1140,18,1
83,1141,1131,11,1
84,1131,1141,11,1
85,1130,1131,12,1
86,1131,1130,12,1
87,1130,1129,1,1
88,1129,1130,1,1
89,1128,1129,4,1
90,1129,1128,4,1
91,1128,1220,12,1
92,1220,1128,12,1
93,1220,1125,22,1
94,1125,1220,22,1
95,1124,1126,1,1
96,1126,1124,1,1
97,1220,1127,9,1
98,1127,1220,9,1
99,1126,1127,15,1
100,1127,1126,15,1
101,1221,1140,10,1
102,1140,1221,10,1
103,1221,1139,20,1
104,1139,1221,20,1
105,1139,1134,24,1
106,1134,1139,24,1
107,1134,1135,7,1
108,1135,1134,7,1
109,1135,1136,4,1
110,1136,1135,4,1
111,1136,1137,7,1
112,1137,1136,7,1
113,1222,1135,14,1
114,1135,1222,14,1
115,1223,1136,14,1
116,1136,1223,14,1
117,1222,1223,4,1
118,1223,1222,4,1
119,1223,1105,46,1
120,1105,1223,46,1
121,1105,1104,25,1
122,1104,1105,25,1
123,1105,1123,3,1
124,1123,1105,3,1
125,1224,1123,22,1
126,1123,1224,22,1
127,1224,1106,11,1
128,1106,1224,11,1
129,1106,1109,1,1
130,1109,1106,1,1
131,1109,1107,2,1
132,1107,1109,2,1
133,1107,1108,6,1
134,1108,1107,6,1
135,1117,1224,20,1
136,1224,1117,20,1
137,1117,1118,5,1
138,1118,1117,5,1
139,1114,1118,5,1
140,1118,1114,5,1
141,1114,1115,8,1
142,1115,1114,8,1
143,1113,1114,9,1
144,1114,1113,9,1
145,1112,1113,2,1
146,1113,1112,2,1
147,1112,1111,2,1
148,1111,1112,2,1
149,1117,1121,5,1
150,1121,1117,5,1
151,1120,1121,4,1
152,1121,1120,4,1
153,1121,1122,5,1
154,1122,1121,5,1
155,1119,1120,3,1
156,1120,1119,3,1
157,1225,1134,15,1
158,1134,1225,15,1
159,1225,1097,37,1
160,1097,1225,37,1
161,1097,1101,39,1
162,1101,1097,39,1
163,1096,1097,4,1
164,1097,1096,4,1
165,1095,1096,6,1
166,1096,1095,6,1
167,1226,1095,7,1
168,1095,1226,7,1
169,1226,1227,29,1
170,1227,1226,29,1
171,1227,1071,7,1
172,1071,1227,7,1
173,1071,1093,9,1
174,1093,1071,9,1
175,1074,1093,15,1
176,1093,1074,15,1
177,1074,1091,9,1
178,1091,1074,9,1
179,1091,1228,4,1
180,1228,1091,4,1
181,1228,1075,4,1
182,1075,1228,4,1
183,1229,1075,6,1
184,1075,1229,6,1
185,1229,1090,11,1
186,1090,1229,11,1
187,1090,1077,14,1
188,1077,1090,14,1
189,1227,1064,30,1
190,1064,1227,30,1
191,1230,1064,25,1
192,1064,1230,25,1
193,1230,1060,48,1
194,1060,1230,48,1
195,1050,1060,2,1
196,1060,1050,2,1
197,1050,1051,9,1
198,1051,1050,9,1
199,1051,1053,7,1
200,1053,1051,7,1
201,1052,1053,20,1
202,1053,1052,20,1
203,1230,1231,4,1
204,1231,1230,4,1
205,1231,1153,6,1
206,1153,1231,6,1
207,1035,1036,1,1
208,1036,1035,1,1
209,1036,1037,6,1
210,1037,1036,6,1
211,1232,1037,2,1
212,1037,1232,2,1
213,1232,1034,8,1
214,1034,1232,8,1
215,1034,1233,4,1
216,1233,1034,4,1
217,1233,1234,7,1
218,1234,1233,7,1
219,1234,1235,2,1
220,1235,1234,2,1
221,1235,1236,4,1
222,1236,1235,4,1
223,1236,1237,3,1
224,1237,1236,3,1
225,1237,1238,3,1
226,1238,1237,3,1
227,1238,1239,2,1
228,1239,1238,2,1
229,1239,1032,1,1
230,1032,1239,1,1
231,1032,1033,2,1
232,1033,1032,2,1
233,1033,1240,3,1
234,1240,1033,3,1
235,1240,1241,4,1
236,1241,1240,4,1
237,1241,1242,4,1
238,1242,1241,4,1
239,1242,1243,4,1
240,1243,1242,4,1
241,1243,1030,2,1
242,1030,1243,2,1
243,1030,1244,2,1
244,1244,1030,2,1
245,1244,1028,5,1
246,1028,1244,5,1
247,1028,1029,3,1
248,1029,1028,3,1
249,1029,1027,4,1
250,1027,1029,4,1
251,1245,1027,4,1
252,1027,1245,4,1
253,1245,1026,1,1
254,1026,1245,1,1
255,1023,1026,3,1
256,1026,1023,3,1
257,1246,1023,3,1
258,1023,1246,3,1
259,1246,1025,2,1
260,1025,1246,2,1
261,1247,1025,6,1
262,1025,1247,6,1
263,1247,1248,3,1
264,1248,1247,3,1
265,1248,1020,3,1
266,1020,1248,3,1
267,1020,1021,5,1
268,1021,1020,5,1
269,1021,1019,2,1
270,1019,1021,2,1
271,1018,1017,1,1
272,1017,1018,1,1
273,1018,1016,2,1
274,1016,1018,2,1
275,1016,1249,1,1
276,1249,1016,1,1
277,1249,1250,5,1
278,1250,1249,5,1
279,1250,1251,2,1
280,1251,1250,2,1
281,1251,1015,2,1
282,1015,1251,2,1
283,1015,1252,1,1
284,1252,1015,1,1
285,1052,1253,4,1
286,1253,1052,4,1
287,1253,1014,2,1
288,1014,1253,2,1
289,1014,1254,3,1
290,1254,1014,3,1
291,1254,1255,2,1
292,1255,1254,2,1
293,1255,1256,4,1
294,1256,1255,4,1
295,1256,1257,3,1
296,1257,1256,3,1
297,1257,1013,3,1
298,1013,1257,3,1
299,1013,1258,3,1
300,1258,1013,3,1
301,1258,1259,3,1
302,1259,1258,3,1
303,1259,1260,10,1
304,1260,1259,10,1
305,1260,1012,8,1
306,1012,1260,8,1
307,1001,1003,12,1
308,1003,1001,12,1
309,1003,1009,1,1
310,1009,1003,1,1
311,1008,1261,5,1
312,1261,1008,5,1
313,1261,1009,9,1
314,1009,1261,9,1
315,1009,1010,2,1
316,1010,1009,2,1
317,1006,1008,7,1
318,1008,1006,7,1
319,1006,1005,10,1
320,1005,1006,10,1
321,1004,1005,4,1
322,1005,1004,4,1
1381,3047,3050,1,3
1382,3050,3047,1,3
1383,3050,3051,1,3
1384,3051,3050,1,3
1385,3051,3484,3,3
1386,3484,3051,3,3
1387,3047,3042,4,3
1388,3042,3047,4,3
1389,3042,3041,8,3
1390,3041,3042,8,3
1391,3040,3041,2,3
1392,3041,3040,2,3
1393,3039,3040,4,3
1394,3040,3039,4,3
1395,3038,3039,2,3
1396,3039,3038,2,3
1397,3485,3038,3,3
1398,3038,3485,3,3
1399,3485,3037,1,3
1400,3037,3485,1,3
1401,3033,3485,1,3
1402,3485,3033,1,3
1403,3033,3034,5,3
1404,3034,3033,5,3
1405,3034,3036,3,3
1406,3036,3034,3,3
1407,3035,3036,0,3
1408,3036,3035,0,3
1409,3485,3032,3,3
1410,3032,3485,3,3
1411,3031,3032,2,3
1412,3032,3031,2,3
1413,3030,3031,6,3
1414,3031,3030,6,3
1415,3030,3025,3,3
1416,3025,3030,3,3
1417,3025,3026,1,3
1418,3026,3025,1,3
1419,3026,3029,0,3
1420,3029,3026,0,3
1421,3027,3029,5,3
1422,3029,3027,5,3
1423,3027,3028,2,3
1424,3028,3027,2,3
1425,3024,3025,6,3
1426,3025,3024,6,3
1427,3024,3023,0,3
1428,3023,3024,0,3
1429,3022,3024,2,3
1430,3024,3022,2,3
1431,3486,3022,4,3
1432,3022,3486,4,3
1433,3486,3021,5,3
1434,3021,3486,5,3
1435,3020,3021,2,3
1436,3021,3020,2,3
1437,3019,3020,1,3
1438,3020,3019,1,3
1439,3018,3486,2,3
1440,3486,3018,2,3
1441,3017,3018,2,3
1442,3018,3017,2,3
1443,3014,3017,6,3
1444,3017,3014,6,3
1445,3014,3015,2,3
1446,3015,3014,2,3
1447,3015,3016,2,3
1448,3016,3015,2,3
1449,3013,3015,3,3
1450,3015,3013,3,3
1451,3013,3487,4,3
1452,3487,3013,4,3
1453,3010,3487,12,3
1454,3487,3010,12,3
1455,3009,3488,1,3
1456,3488,3009,1,3
1457,3011,3488,8,3
1458,3488,3011,8,3
1459,3009,3489,7,3
1460,3489,3009,7,3
1461,3489,3500,9,3
1462,3500,3489,9,3
1463,3008,3500,2,3
1464,3500,3008,2,3
1465,3007,3008,15,3
1466,3008,3007,15,3
1467,3006,3007,19,3
1468,3007,3006,19,3
1469,3005,3006,8,3
1470,3006,3005,8,3
1471,3005,3501,13,3
1472,3501,3005,13,3
1473,3003,3501,6,3
1474,3501,3003,6,3
1475,3002,3502,4,3
1476,3502,3002,4,3
1477,3000,3002,7,3
1478,3002,3000,7,3
1479,3012,3488,5,3
1480,3488,3012,5,3
1481,3371,3487,29,3
1482,3487,3371,29,3
1483,3503,3371,31,3
1484,3371,3503,31,3
1485,3372,3503,9,3
1486,3503,3372,9,3
1487,3372,3373,4,3
1488,3373,3372,4,3
1489,3082,3503,13,3
1490,3503,3082,13,3
1491,3082,3083,2,3
1492,3083,3082,2,3
1493,3083,3084,6,3
1494,3084,3083,6,3
1495,3084,3085,2,3
1496,3085,3084,2,3
1497,3085,3086,1,3
1498,3086,3085,1,3
1499,3086,3087,6,3
1500,3087,3086,6,3
1501,3087,3088,2,3
1502,3088,3087,2,3
1503,3088,3089,2,3
1504,3089,3088,2,3
1505,3089,3090,4,3
1506,3090,3089,4,3
1507,3090,3091,2,3
1508,3091,3090,2,3
1509,3091,3092,4,3
1510,3092,3091,4,3
1511,3092,3093,2,3
1512,3093,3092,2,3
1513,3093,3094,2,3
