_id,ftype,fname,nid,metadata
1,8,1002,1000,
2,9,Staircase,1001,
3,8,101,1002,
4,5,LIFT 4,1003,
5,2,1004,1004,
6,2,1005,1005,
7,2,1006,1006,
8,2,101C,1007,
9,2,1009,1008,
10,2,1010,1009,
11,2,1011,1010,
12,2,1012,1011,
13,9,Staircase,1012,
14,2,1017A,1013,
15,2,1015,1014,
16,2,1018,1015,
17,9,Staircase,1016,
18,4,M,1017,
19,5,LIFT 3,1018,
20,5,LIFT 2,1019,
21,9,Staircase,1020,
22,4,F,1021,
23,8,1024A,1022,
24,2,1024,1023,
25,8,1025B,1024,
26,2,1025,1025,
27,2,1026,1026,
28,2,1023,1027,
29,2,1022,1028,
30,2,1027,1029,
31,2,1028,1030,
32,8,1031A,1031,
33,2,1031,1032,
34,2,1029,1033,
35,2,1030A-B,1034,
36,5,LIFT 1,1035,
37,9,Staircase,1036,
38,4,M,1037,
39,8,1049,1038,
40,2,1048,1039,
41,8,1034,1040,
42,8,1034A,1041,
43,8,1035,1042,
44,8,1036,1043,
45,8,1037,1044,
46,8,1038,1045,
47,9,Staircase,1046,
48,8,1039,1047,
49,8,1043A,1048,
50,8,1043,1049,
51,5,LIFT 20,1050,
52,9,Staircase,1051,
53,9,Staircase,1052,
54,2,1201-02,1053,
55,8,1203A,1054,
56,8,1203B,1055,
57,8,1203C,1056,
58,8,1203D,1057,
59,8,1204,1058,
60,8,1205,1059,
61,2,1206,1060,
62,8,1206A,1061,
63,8,1206B,1062,
64,8,1206C,1063,
65,2,1207,1064,
66,8,1207A,1065,
67,8,1207B,1066,
68,8,1207C,1067,
69,8,1208,1068,
70,8,1209,1069,
71,8,1209A,1070,
72,2,1209B,1071,
73,8,1209C,1072,
74,8,1209D,1073,
75,2,1210,1074,
76,2,1211,1075,
77,8,1211A,1076,
78,2,1213,1077,
79,8,1221,1078,
80,8,1222,1079,
81,8,1223,1080,
82,8,1224,1081,
83,8,1225,1082,
84,8,1227,1083,
85,8,1228,1084,
86,8,1229,1085,
87,8,1230,1086,
88,8,1231,1087,
89,8,1232,1088,
90,8,1233,1089,
91,8,1218,1090,
92,2,1215,1091,
93,8,1212A,1092,
94,2,1212,1093,
95,9,Staircase,1094,
96,4,M,1095,
97,9,Staircase,1096,
98,5,LIFT 22,1097,
99,8,1125,1098,
100,8,1125A,1099,
101,8,1125B,1100,
102,9,Staircase,1101,
103,9,Staircase,1102,
104,9,Staircase,1103,
105,2,1151A,1104,
106,2,1511,1105,
107,5,LIFT 27,1106,
108,5,LIFT 28,1107,
109,4,M,1108,
110,9,Staircase,1109,
111,8,1523A,1110,
112,2,1523,1111,
113,2,1520C,1112,
114,9,Staircase,1113,
115,2,1520B,1114,
116,4,M,1115,
117,8,1520A,1116,
118,2,1520D,1117,
119,2,1520E,1118,
120,2,1518,1119,
121,5,LIFT 29,1120,
122,5,LIFT 30,1121,
123,9,Staircase,1122,
124,1,LTH,1123,
125,1,LTG,1124,
126,1,LTF,1125,
127,2,1504,1126,
128,2,1505,1127,
129,5,LIFT 25,1128,
130,5,LIFT 26,1129,
131,9,Staircase,1130,
132,2,COFFEE,1131,
133,2,1403,1132,
134,8,1401,1133,
135,1,LTE,1134,
136,2,Escalator,1135,
137,2,Escalator,1136,
138,9,Staircase,1137,
139,9,Staircase,1138,
140,1,LTD,1139,
141,1,LTC,1140,
142,9,Staircase,1141,
143,1,LTB,1142,
144,1,LTA,1143,
145,9,Staircase,1144,
146,8,1102,1145,
147,8,1103,1146,
148,2,1104,1147,
149,8,1105A,1148,
150,8,1105,1149,
151,9,Staircase,1150,
152,4,M,1151,
153,9,Staircase,1152,
154,5,LIFT 19,1153,
155,2,BARN B,1154,
156,8,1100,1155,
157,9,Staircase,1156,
158,9,Staircase,1157,
159,2,Escalator,1158,
160,2,Escalator,1159,
161,2,Academid Records and Registration Office,1160,
162,8,1369,1161,
163,9,Staircase,1162,
164,4,M,1163,
165,5,LIFT 18,1164,
166,5,LIFT 17,1165,
167,8,1379,1166,
168,8,1380,1167,
169,8,1382,1168,
170,8,1383,1169,
