_id,fname,ftype,nid,metadata
1,3001,2,3000,
2,3002,8,3001,
3,Staircase,6,3002,
4,LIFT 4,5,3003,
5,3003,8,3004,
6,3005,2,3005,
7,3006,2,3006,
8,3007,2,3007,
9,3008,2,3008,
10,Staircase,6,3009,
11,LIFT 3,5,3010,
12,M,4,3011,
13,3011-3017,2,3012,
14,3331,2,3013,
15,3332,2,3014,
16,3333,2,3015,
17,3334,2,3016,
18,3335,2,3017,
19,3336,2,3018,
20,3337,2,3019,
21,3338,2,3020,
22,3339,2,3021,
23,3340,2,3022,
24,3341,2,3023,
25,3342,2,3024,
26,3343,2,3025,
27,3344,2,3026,
28,3345,2,3027,
29,3346,2,3028,
30,3347,2,3029,
31,3348,2,3030,
32,3349,2,3031,
33,3350,2,3032,
34,3351,2,3033,
35,3352,2,3034,
36,3353,2,3035,
37,3354,2,3036,
38,3355,2,3037,
39,3356,2,3038,
40,3357,2,3039,
41,3358,2,3040,
42,3359,2,3041,
43,3360,2,3042,
44,3361,8,3043,
45,3362,8,3044,
46,3363,8,3045,
47,3364,8,3046,
48,3365,2,3047,
49,Staircase,6,3048,
50,F,4,3049,
51,3366,2,3050,
52,3367,2,3051,
53,3368,2,3052,
54,3369,2,3053,
55,3370,2,3054,
56,3371,2,3055,
57,3373,2,3056,
58,3374,2,3057,
59,3375,2,3058,
60,3376,2,3059,
61,3377,2,3060,
62,3378,2,3061,
63,3379,2,3062,
64,3380,2,3063,
65,3381,2,3064,
66,3382,2,3065,
67,3383,2,3066,
68,3384,2,3067,
69,3385,2,3068,
70,3386,2,3069,
71,3387,2,3070,
72,3388,2,3071,
73,3389,2,3072,
74,3390,2,3073,
75,3391,2,3074,
76,3392,2,3075,
77,Staircase,6,3076,
78,LIFT 13,5,3077,
79,LIFT 14,5,3078,
80,LIFT 15,5,3079,
81,3301,2,3080,
82,Staircase,6,3081,
83,3302,2,3082,
84,3303,2,3083,
85,3304,2,3084,
86,3305,2,3085,
87,3306,2,3086,
88,3307,2,3087,
89,3308,2,3088,
90,3309,2,3089,
91,3310,2,3090,
92,3311,2,3091,
93,3312,2,3092,
94,3313,2,3093,
95,3314,2,3094,
96,3315,2,3095,
97,3316,2,3096,
98,3399,2,3097,
99,LIFT 17,5,3098,
100,LIFT 18,5,3099,
101,Staircase,6,3100,
102,M,4,3101,
103,3401,2,3102,
104,3402,2,3103,
105,3403,2,3104,
106,3404,2,3105,
107,3405,2,3106,
108,3406,2,3107,
109,3407,2,3108,
110,3408,2,3109,
111,3409,2,3110,
112,3410,2,3111,
113,3411,2,3112,
114,3412,2,3113,
115,3413,2,3114,
116,3414,2,3115,
117,3415,2,3116,
118,3416,2,3117,
119,3419,2,3118,
120,3420,2,3119,
121,3421,2,3120,
122,3422,2,3121,
123,3423,2,3122,
124,3424,2,3123,
125,3425,2,3124,
126,3426,2,3125,
127,3427,2,3126,
128,3428,2,3127,
129,3429,2,3128,
130,3430,2,3129,
131,3431,2,3130,
132,3432,2,3131,
133,3433,2,3132,
134,3434,2,3133,
135,Staircase,6,3134,
136,3435,2,3135,
137,3436,2,3136,
138,3437,2,3137,
139,3438,2,3138,
140,3439,2,3139,
141,3442,2,3140,
142,3443,2,3141,
143,3444,2,3142,
144,3445,2,3143,
145,3446,2,3144,
146,3447,2,3145,
147,3449,2,3146,
148,3450,2,3147,
149,3451,2,3148,
150,3452,2,3149,
151,3453,2,3150,
152,3454,2,3151,
153,3455,2,3152,
154,3456,2,3153,
155,3457,2,3154,
156,3458,2,3155,
157,3459,2,3156,
158,3460,2,3157,
159,3461,2,3158,
160,3462,2,3159,
161,3463,8,3160,
162,3464,2,3161,
163,LIFT 25,5,3162,
164,LIFT 26,5,3163,
165,F,4,3164,
166,Staircase,6,3165,
167,3468,2,3166,
168,3469,2,3167,
169,3470,2,3168,
170,3471,2,3169,
171,3472,2,3170,
172,3473,2,3171,
173,3476,2,3172,
174,3477,2,3173,
175,3478,2,3174,
176,3481,2,3175,
177,3482,2,3176,
178,3483,2,3177,
179,3484,2,3178,
180,3485,2,3179,
181,3486,2,3180,
182,3488,2,3181,
183,3489,2,3182,
184,3490,2,3183,
185,3491,2,3184,
186,3492,2,3185,
187,3493,2,3186,
188,3494,2,3187,
189,Staircase,6,3188,
190,3501,2,3189,
191,3502,2,3190,
192,3503,2,3191,
193,3504,2,3192,
194,3505,2,3193,
195,3506,2,3194,
196,3507,2,3195,
197,3508,2,3196,
198,3509,2,3197,
199,3510,2,3198,
200,3511,2,3199,
201,3512,2,3200,
202,3513,2,3201,
203,3514,2,3202,
204,3515,2,3203,
205,3516,2,3204,
206,3517,2,3205,
207,3518,2,3206,
208,3519,2,3207,
209,3520,2,3208,
210,3521,2,3209,
211,3522,2,3210,
212,3523,2,3211,
213,3524,2,3212,
214,3525,2,3213,
215,3526,2,3214,
216,3527,2,3215,
217,3528,2,3216,
218,3531,8,3217,
219,3532,8,3218,
220,3533,2,3219,
221,3534,2,3220,
222,3535,2,3221,
223,3536,2,3222,
224,3537,2,3223,
225,3538,2,3224,
226,3539,2,3225,
227,3541,2,3226,
228,3542,2,3227,
229,3543,2,3228,
230,3544,2,3229,
231,3545,2,3230,
232,3546,2,3231,
233,3547,2,3232,
234,staircase,6,3233,
235,3548,2,3234,
236,3549,2,3235,
237,3551,2,3236,
238,3552,2,3237,
239,3553,2,3238,
240,3554,2,3239,
241,3555,2,3240,
242,3556,2,3241,
243,3557,2,3242,
244,3558,2,3243,
245,3559,2,3244,
246,3561,2,3245,
247,3562,2,3246,
248,3563,2,3247,
249,3564,2,3248,
250,3565,2,3249,
251,3566,2,3250,
252,3567,2,3251,
253,3568,2,3252,
254,3569,2,3253,
255,3570,2,3254,
256,3571,2,3255,
257,3572,2,3256,
258,3573,2,3257,
259,3574,2,3258,
260,3575,2,3259,
261,3576,2,3260,
262,3577,8,3261,
263,3578,8,3262,
264,3579,8,3263,
265,3580,8,3264,
266,3581,2,3265,
267,LIFT 27,5,3266,
268,LIFT 28,5,3267,
269,M,4,3268,
270,Staircase,6,3269,
271,3582,2,3270,
272,3583,2,3271,
273,3584,2,3272,
274,3585,2,3273,
275,3586,2,3274,
276,3587,2,3275,
277,3588,2,3276,
278,3589,2,3277,
279,3590,2,3278,
280,3591,2,3279,
281,3592,2,3280,
282,3593,2,3281,
283,3594,2,3282,
284,3595,2,3283,
285,3596,2,3284,
286,3597,2,3285,
287,3598,2,3286,
288,Staircase,6,3287,
289,3600,2,3288,
290,3601,8,3289,
291,3602,8,3290,
292,3603,8,3291,
293,3604,8,3292,
294,3605,8,3293,
295,3606,8,3294,
296,3607,8,3295,
297,3608,8,3296,
298,3609,8,3297,
299,3610,8,3298,
300,3611,8,3299,
301,3612,8,3300,
302,3613,8,3301,
303,3614,8,3302,
304,3615,8,3303,
305,3616,2,3304,
306,Staircase,6,3305,
307,3619,8,3306,
308,3620,8,3307,
309,3620A,2,3308,
310,3622A,8,3309,
311,3622,8,3310,
312,3623,8,3311,
313,3624,8,3312,
314,LIFT 29,5,3313,
315,LIFT 30,5,3314,
316,3618,2,3315,
317,3625A,8,3316,
318,3625,2,3317,
319,3626,2,3318,
320,3627,2,3319,
321,3627A,2,3320,
322,3628,2,3321,
323,3629,2,3322,
324,3630,2,3323,
325,3631,2,3324,
326,3632,2,3325,
327,F,4,3326,
328,Staircase,6,3327,
329,3633,2,3328,
330,3634,2,3329,
331,3635,8,3330,
332,3636,2,3331,
333,3637,2,3332,
334,3638,2,3333,
335,3639,2,3334,
336,3642,2,3335,
337,3644,8,3336,
338,3645,8,3337,
339,3641,2,3338,
340,3646,8,3339,
341,3647,8,3340,
342,3648,8,3341,
343,3649,8,3342,
344,LIFT 31,5,3343,
345,LIFT 32,5,3344,
346,M,4,3345,
347,Staircase,6,3346,
348,3655,2,3347,
349,3657,2,3348,
350,3658,2,3349,
351,3659,2,3350,
352,3662,2,3351,
353,3663,2,3352,
354,3664,2,3353,
355,Staircase,6,3354,
356,3142,2,3355,
357,3143,2,3356,
358,LIFT 33,5,3357,
359,Staircase,6,3358,
360,LTJ,2,3359,
361,Staircase,6,3360,
362,Staircase,6,3361,
363,3131,2,3362,
364,Staircase,6,3363,
365,LIFT 24,5,3364,
366,Staircase,6,3365,
367,M,4,3366,
368,3234,8,3367,
369,LIFT 23,8,3368,
370,Staircase,6,3369,
371,Staircase,6,3370,
372,3018-3019,2,3371,
373,LIFT 2,5,3372,
374,F,4,3373,
375,3020-3026,2,3374,
376,3020,2,3375,
377,3021,2,3376,
378,3022,2,3377,
379,3023,2,3378,
380,3024,2,3379,
381,3025,2,3380,
382,3026,2,3381,
383,3019A,2,3382,
384,LIFT 1,5,3383,
385,M,4,3384,
386,Staircase,6,3385,
387,3033A,2,3386,
388,3033B,2,3387,
389,3033C,2,3388,
390,3035,2,3389,
391,3033,2,3390,
392,3037,2,3391,
393,Staircase,6,3392,
394,3101,2,3393,
395,3107,2,3394,
396,3107A,2,3395,
397,3107B,2,3396,
398,3107C,2,3397,
399,3107D,2,3398,
400,Staircase,6,3399,
401,F,4,3400,
402,Staircase,6,3401,
403,LIFT 19,5,3402,
404,3108,2,3403,
405,Staircase,6,3404,
406,3109,2,3405,
407,3109A,2,3406,
408,3111,2,3407,
409,3111A,2,3408,
410,3111B,8,3409,
411,3113,2,3410,
412,3113A,8,3411,
413,3113B,2,3412,
414,3115,2,3413,
415,3110,2,3414,
416,3112,2,3415,
417,3114,2,3416,
418,3114A,2,3417,
419,3117,2,3418,
420,3117A,8,3419,
421,3118,2,3420,
422,3118A,8,3421,
423,3118B,8,3422,
424,3118C,8,3423,
425,3120,2,3424,
426,3120B,8,3425,
427,3122,2,3426,
428,3123,2,3427,
429,3124,2,3428,
430,3126,2,3429,
431,3127,2,3430,
432,3116,2,3431,
433,Staircase,6,3432,
434,3116B,8,3433,
435,3116A,2,3434,
436,3119,2,3435,
437,F,4,3436,
438,Staircase,6,3437,
439,LIFT 22,5,3438,
440,3121,2,3439,
441,3121A,8,3440,
442,3125A,2,3441,
443,3130,2,3442,
444,3200,2,3443,
445,3201A,8,3444,
446,3201B,8,3445,
447,3201,2,3446,
448,3202A,8,3447,
449,3202B,8,3448,
450,3202C,8,3449,
451,3202D,8,3450,
452,3202,2,3451,
453,Staircase,6,3452,
454,M,4,3453,
455,Staircase,6,3454,
456,LIFT 20,5,3455,
457,3203,2,3456,
458,3204C,2,3457,
459,3204B,2,3458,
460,3204A,8,3459,
461,3206,8,3460,
462,3205,2,3461,
463,3207,2,3462,
464,3207B,2,3463,
465,3207A-3208,2,3464,
466,3208A,2,3465,
467,Staircase,6,3466,
468,F,4,3467,
469,Staircase,6,3468,
470,LIFT 21,5,3469,
471,3209A&3209C,2,3470,
472,3209B,2,3471,
473,3210,2,3472,
474,3211,2,3473,
475,3211A,2,3474,
476,3213,2,3475,
477,3214,2,3476,
478,3215,8,3477,
479,3216,2,3478,
480,3217,8,3479,
481,3217A,8,3480,
482,3218,2,3481,
483,3219,2,3482,
484,3220,2,3483,
485,turning point,7,3484,
486,turning point,7,3485,
487,turning point,7,3486,
488,turning point,7,3487,
489,turning point,7,3488,
490,turning point,7,3489,
491,turning point,7,3490,
492,turning point,7,3491,
493,turning point,7,3492,
494,turning point,7,3493,
495,turning point,7,3494,
496,turning point,7,3495,
497,turning point,7,3496,
498,turning point,7,3497,
499,turning point,7,3498,
500,turning point,7,3499,
501,turning point,7,3500,
502,turning point,7,3501,
503,turning point,7,3502,
504,turning point,7,3503,
505,turning point,7,3504,
506,turning point,7,3505,
507,turning point,7,3506,
508,turning point,7,3507,
509,turning point,7,3508,
510,turning point,7,3509,
511,turning point,7,3510,
512,turning point,7,3511,
513,turning point,7,3512,
514,turning point,7,3513,
515,3530,2,3514,
516,turning point,7,3515,
